Labeled Size,sgd,adam,adamw,rmsprop
1000,70.11000000000001,78.53,73.452,72.856
2000,75.90400000000001,81.544,76.74999999999999,75.98
3000,79.898,83.664,78.758,78.44800000000001
4000,83.188,84.926,81.212,80.28399999999999
5000,85.086,85.98800000000001,82.574,81.23599999999999
6000,86.47800000000001,87.026,84.012,82.976
7000,87.462,88.12,84.92,83.94399999999999
8000,88.30199999999999,88.72200000000001,85.936,84.674
9000,89.112,89.206,86.47600000000001,85.408
10000,89.508,89.642,87.35199999999999,86.26000000000002
